date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:39	82778/82778	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2010:35:40%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/index.html	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/index.html	(from )
14:50:39	181/181	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Mar%202019%2009:20:38%20GMT	http://webapplayers.com/robots.txt		(from )
14:50:40	140421/140421	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:41:18%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/css/bootstrap.min.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/css/bootstrap.min.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:40	37414/37414	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:42:02%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/font-awesome/css/font-awesome.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/font-awesome/css/font-awesome.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:40	6661/6661	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:41:49%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/css/plugins/toastr/toastr.min.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/css/plugins/toastr/toastr.min.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:41	2556/2556	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:44:40%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/js/plugins/gritter/jquery.gritter.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/js/plugins/gritter/jquery.gritter.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:41	66203/66203	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:41:17%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/css/animate.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/css/animate.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:42	197837/197837	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Jun%202018%2010:07:54%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/css/style.css	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/css/style.css	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:42	38116/38116	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2010:41:08%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/profile.html	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/profile.html	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
14:50:43	39384/39384	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2010:40:56%20GMT	http://webapplayers.com/inspinia_admin-v2.9.1/contacts.html	C:/Users/sinng/Desktop/inspina/webapplayers.com/inspinia_admin-v2.9.1/contacts.html	(from http://webapplayers.com/inspinia_admin-v2.9.1/index.html)
